"Species","Name","Count"
"Dog","Mavis",13
"Dog","Francis",13
"Dog","Darla",13
"Dog","Albert",13
"Dog","Eddy",13
"Dog","Lyla",13
"Dog","Danny",13
"Dog","Ebony",13
"Dog","Gilbert",13
"Dog","Nigel",13
"Dog","Mason",13
"Dog","Harriet",13
"Dog","Spud",13
"Dog","Kodi",13
"Dog","Tiger",13
"Dog","Paddy",13
"Dog","Agnes",13
"Dog","Noodle",13
"Dog","Chiquita",13
"Dog","Diva",13
"Dog","Tulip",13
"Dog","Sheila",13
"Dog","Rosco",13
"Dog","Sushi",13
"Dog","Dublin",13
"Dog","CoCo",13
"Dog","Mishka",13
"Dog","JoJo",13
"Dog","Josephine",13
"Dog","Osa",13
"Dog","Sara",13
"Dog","Tonka",13
"Dog","Jazzy",13
"Dog","Kate",13
"Dog","Suzie",13
"Dog","Hope",13
"Dog","Haley",13
"Dog","Mya",13
"Dog","Abigail",13
"Dog","Alki",13
"Dog","Hopper",13
"Dog","Doc",13
"Dog","Tesla",13
"Dog","Zola",13
"Dog","Clifford",13
"Dog","Moka",12
"Dog","Eloise",12
"Dog","Cupcake",12
"Dog","Lucia",12
"Dog","Bindi",12
"Dog","Mary Jane",12
"Dog","Friday",12
"Dog","Sarah",12
"Dog","Alma",12
"Dog","Jacob",12
"Dog","Sofia",12
"Dog","Harlow",12
"Dog","Ghost",12
"Dog","Earl",12
"Dog","Bridget",12
"Dog","Sweet Pea",12
"Dog","Tali",12
"Dog","Bacon",12
"Dog","Jamie",12
"Dog","Cleopatra",12
"Dog","Kit",12
"Dog","Toto",12
"Dog","Canela",12
"Dog","Sidney",12
"Dog","Ray",12
"Dog","Skippy",12
"Dog","Badger",12
"Dog","Margot",12
"Dog","Zeppelin",12
"Dog","Aki",12
"Dog","Kahlua",12
"Dog","Peach",12
"Dog","Drake",12
"Dog","Leonard",12
"Dog","Flynn",12
"Dog","Pongo",12
"Dog","Yoda",12
"Dog","Dax",12
"Dog","Bambi",12
"Dog","Ted",12
"Dog","Indigo",12
"Dog","Scruffy",12
"Dog","Arrow",12
"Dog","Mira",12
"Dog","Eli",12
"Dog","Ember",12
"Dog","Fletcher",12
"Dog","Tillie",12
"Dog","Bleu",12
"Dog","Jewel",12
"Dog","Taffy",12
"Dog","Opie",12
"Dog","Roman",12
"Dog","Junior",12
"Dog","Domino",12
"Dog","Spot",12
"Dog","Batman",12
"Dog","Papi",12
"Dog","Gaia",12
"Dog","Nori",12
"Dog","Latte",12
"Dog","Piglet",12
"Dog","Duffy",11
"Dog","Tinker",11
"Dog","Wednesday",11
"Dog","Ariel",11
"Dog","Rigby",11
"Dog","Jinx",11
"Dog","Sol",11
"Dog","Clio",11
"Dog","Jimmy",11
"Dog","Ethel",11
"Dog","Troy",11
"Dog","Mercedes",11
"Dog","Terra",11
"Dog","August",11
"Dog","Cuddles",11
"Dog","Potato",11
"Dog","Turbo",11
"Dog","Bugsy",11
"Dog","Chanel",11
"Dog","Sable",11
"Dog","Perry",11
"Dog","Candy",11
"Dog","London",11
"Dog","Klaus",11
"Dog","Wyatt",11
"Dog","Audrey",11
"Dog","Vinny",11
"Dog","Deuce",11
"Dog","Bogart",11
"Dog","Skylar",11
"Dog","Finnigan",11
"Dog","Smudge",11
"Dog","Milly",11
"Dog","Eve",11
"Dog","Martha",11
"Dog","Mei Mei",11
"Dog","Storm",11
"Dog","Seymour",11
"Dog","Dolce",11
"Dog","Amos",11
"Dog","Marlo",11
"Dog","Aggie",11
"Dog","Biggie",11
"Dog","Addy",11
"Dog","Hanna",11
"Dog","Nicky",11
"Dog","Uno",11
"Dog","Ari",11
"Dog","Pascal",11
"Dog","Reuben",11
"Dog","Indiana",11
"Dog","Asha",11
"Dog","Lucille",11
"Dog","Kelly",11
"Dog","Alex",11
"Dog","Vinnie",11
"Dog","Hawkeye",11
"Dog","Kitty",11
"Dog","Dave",11
"Dog","Sitka",11
"Dog","Sheldon",11
"Dog","Wylie",11
"Dog","Chili",11
"Dog","Fenway",11
"Dog","Zara",11
"Dog","Scarlet",11
"Dog","Rosey",11
"Dog","Lana",11
"Dog","PJ",11
"Dog","Toast",10
"Dog","Kylie",10
"Dog","Reba",10
"Dog","Rebel",10
"Dog","Zack",10
"Dog","Desi",10
"Dog","Paddington",10
"Dog","Floyd",10
"Dog","Booker",10
"Dog","Rolo",10
"Dog","Tate",10
"Dog","Crash",10
"Dog","Rylee",10
"Dog","Ida",10
"Dog","Fern",10
"Dog","Dillon",10
"Dog","Wesley",10
"Dog","Desmond",10
"Dog","Koji",10
"Dog","Rainey",10
"Dog","Meadow",10
"Dog","Lupin",10
"Dog","Victor",10
"Dog","Maxx",10
"Dog","Chauncey",10
"Dog","Sienna",10
"Dog","Robin",10
"Dog","Skip",10
"Dog","Douglas",10
"Dog","Jagger",10
"Dog","Puck",10
"Dog","Tony",10
"Dog","Lizzy",10
"Dog","Caleb",10
"Dog","Poe",10
"Dog","Gunther",10
"Dog","Mini",10
"Dog","Pax",10
"Dog","Ernest",10
"Dog","Zia",10
"Dog","Addison",10
"Dog","Ramsey",10
"Dog","Dutchess",10
"Dog","Bonita",10
"Dog","Trigger",10
"Dog","Pasha",10
"Dog","Sissy",10
"Dog","Tito",10
"Dog","Blondie",10
"Dog","Bucky",10
"Dog","Salty",10
"Dog","Saffron",10
"Dog","Connor",10
"Dog","April",10
"Dog","Pluto",10
"Dog","Tia",10
"Dog","Ally",10
"Dog","Teddy Bear",10
"Dog","Lani",10
"Dog","Mara",10
"Dog","Kota",10
"Dog","Macallan",10
"Dog","Hachi",10
"Dog","Mae",10
"Dog","Gibson",10
"Dog","Stewie",10
"Dog","Demi",10
"Dog","Ruth",10
"Dog","Merle",10
"Dog","Ender",10
"Dog","Baby Girl",10
"Dog","Newman",10
"Dog","Ayla",10
"Dog","Moses",10
"Dog","Lyra",10
"Dog","Oly",10
"Dog","Toki",10
"Dog","Lemon",10
"Dog","Bongo",10
"Dog","Brie",10
"Dog","Ladybug",10
"Dog","Leeloo",10
"Dog","Kylo",10
"Dog","Sherlock",10
"Dog","Einstein",10
"Dog","Crosby",10
"Dog","Berkeley",10
"Dog","Penny Lane",10
"Dog","Kato",10
"Dog","Clark",10
"Dog","Monk",10
"Dog","Frodo",10
"Dog","Wolfie",10
"Dog","Hendrix",10
"Dog","Gia",10
"Dog","Kaiser",10
"Dog","Zena",10
"Dog","Ali",9
"Dog","Riker",9
"Dog","Trudy",9
"Dog","Silver",9
"Dog","Ashley",9
"Dog","Thea",9
"Dog","Dori",9
"Dog","Rogue",9
"Dog","Trooper",9
"Dog","Maisey",9
"Dog","Isabel",9
"Dog","Timmy",9
"Dog","Coby",9
"Dog","Brewster",9
"Dog","Bennett",9
"Dog","Miko",9
"Dog","Jude",9
"Dog","Ragnar",9
"Dog","Harold",9
"Dog","Dahlia",9
"Dog","Beauregard",9
"Dog","Paxton",9
"Dog","Wolfgang",9
"Dog","Albie",9
"Dog","Faith",9
"Dog","Jones",9
"Dog","Jelly",9
"Dog","Tully",9
"Dog","Aria",9
"Dog","Rey",9
"Dog","Neville",9
"Dog","Korben",9
"Dog","Roxanne",9
"Dog","Joe",9
"Dog","Etta",9
"Dog","Midnight",9
"Dog","Zephyr",9
"Dog","Augustus",9
"Dog","Mazie",9
"Dog","Jetta",9
"Dog","Chevy",9
"Dog","Nick",9
"Dog","Gucci",9
"Dog","Isla",9
"Dog","Starbuck",9
"Dog","Guster",9
"Dog","Alfred",9
"Dog","Finney",9
"Dog","Puppy",9
"Dog","Summit",9
"Dog","Jemma",9
"Dog","Beatrix",9
"Dog","Petra",9
"Dog","Cheddar",9
"Dog","Patches",9
"Dog","Java",9
"Dog","Pinky",9
"Dog","Rain",9
"Dog","Conan",9
"Dog","Aurora",9
"Dog","Ursa",9
